text,label
পেলাম জীবনে ভবিষ্যৎে অন্ধকার কিভাবে বাকি জীবন চলবো,1
ছোট ছোট স্বপ্নগুলো পূরণ পারলে জীবনটা সার্থক বড় স্বপ্নের শুরুই ছোট,0
বিশ্বাস যেকোনো পরিস্থিতিতে ইতিবাচক জীবনকে সহজ,0
জামা প্যান্ট জুতা সাথে মরলাম পাখি কথা রেখেছি পাখি গত ২ বছর বলেছিলাম পাখি যেদিন ভুলে মরণ রেখেছি পাখি কথা মত বেইমান মৃত্যুর একমাত্র পরিবার দায়ী,1
২০১৬তে বিয়ে বিয়ের শোভন নামে চুয়েটের ৮ম ব্যাচের এক ছেলের সাথে হোটেলে রাত কাটায় লজ্জা লাগছে লিখতে ততদিনে সবাইকে বিয়ের দাওয়াত দেয়া শেষ যেহেতু চট্টগ্রামের সবাই চিনে বিয়ে কেনসেল বাতিল পারিনি লজ্জাতে,1
আল্লাহর বিশ্বাস রাখুন জীবনে সুন্দর সাজিয়েছেন,0
চাই কষ্টের গল্প জানুক আগ্রহী,1
প্ররোচনা দিছে মইনমিথি নামে ফ্রেন্ড মাবাবা মানসিক কষ্ট মারছে আমিই বেইমানি মেনে তারপরও ভুলে সুন্দর সংসার চাইছি,1
কষ্ট চাই অস্তিত্বই একটা বোঝা,1
সবাই ছেড়ে,1
ভালোবাসার আসল মানে থাকলে সত্যিকারের সুখী,0
কথা পড়লেই একটা শান্তি অনুভব ভালোবাসা এমনই,0
বন্ধুত্ব একটা সম্পর্ক রক্তের বাঁধনে বাঁধা হৃদয়ের বাঁধনে শক্তিশালী বন্ধুরা জীবনের সবচেয়ে বড় সম্পদ সুখের সঙ্গী দুঃখের সময়ও পাশে,0
স্মৃতিগুলো কষ্ট ভবিষ্যৎ ভয় দেখায়,1
দেশে জনসংখ্যা মানুষ কম,1
জীবনের প্রতিটি ছোট মুহূর্তকেও উপভোগ,0
চাই তাকিয়ে বলুক গুরুত্বপূর্ণ,1
সঠিক মস্তিষ্কে লিখে যাচ্ছি মৃতুর দায়ী বিষয়টা প্রকার চার্জ দায়ী,1
শিশুদের হাসি দেখলে পৃথিবীতে সারল্য জীবনের সহজত্ব শিখতে,0
প্রতিদিন ভেঙে পড়ছি পাচ্ছে,1
মুহূর্ত প্রতিদিন পড়ে মুহূর্তগুলো কেবল ভালোবাসার অনুপ্রেরণায়,0
মানুষকে অল্পতেই বিশ্বাস ধোঁকা খাই বোকার মানুষকে বিশ্বাস,1
চাই মন একদিনের শান্ত,1
ছোটবেলার মাটির ঘর লেপের উষ্ণতা মনের রয়ে,0
সত্যিকারের সুখ আসে আল্লাহর পথে চললে সম্পর্ক স্থাপন,0
বিশ্বাস মানুষ স্বপ্নের বড় চেষ্টায় অবিচল,0
শক্তিহীন পড়েছি লড়াই পারছি,1
আশপাশে সমর্থন নিজেকেই সমর্থক শিখেছি,0
ফাঁসি মরতেসি ওপর নিজেকে এতো ভালোবাসে মানুষ মানুষ জানি সলিউশন বাঁচতে দিতেসে বিশ্বাস ফাইটার মানুষ বাঁচতে চাইছিলাম,1
একদিন কঠোর পরিশ্রমের ফলস্বরূপ বড় ধৈর্য রাখুন,0
জীবনের সমস্যা শক্তিশালী এগিয়ে চলুন,0
